rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,delay_category
564825,414525,mobile,canceled,canceled,Annulé
564844,297962,connect,ended,-167.0,
564955,389994,mobile,ended,136.0,
564967,282208,mobile,canceled,canceled,Annulé
564992,366410,mobile,ended,62.0,
565108,354331,mobile,ended,-55.0,
565143,381435,mobile,ended,-100.0,
565205,406475,mobile,ended,-80.0,
565340,415170,mobile,ended,41.0,
565494,368210,mobile,ended,45.0,
565540,281518,mobile,ended,-43.0,
505091,213807,connect,ended,-155.0,
505567,308565,mobile,ended,-3.0,
505859,268874,mobile,ended,42.0,
506321,393781,connect,ended,-1.0,
506970,226932,mobile,ended,-10.0,
507103,393584,mobile,ended,15.0,
507112,221297,mobile,ended,7.0,
508737,358274,mobile,canceled,canceled,Annulé
509566,372647,mobile,ended,181.0,
509688,339975,mobile,ended,14.0,
511872,386539,mobile,ended,7.0,
512237,382279,mobile,ended,-10.0,
514630,366287,connect,canceled,canceled,Annulé
514673,402194,mobile,ended,-52.0,
515572,397136,mobile,canceled,canceled,Annulé
516244,349131,mobile,ended,-34.0,
516585,389785,connect,ended,162.0,
518058,320481,mobile,canceled,canceled,Annulé
519450,358846,mobile,ended,-12.0,
519451,251815,connect,ended,-76.0,
520147,392147,mobile,ended,1.0,
520580,168079,mobile,ended,-20.0,
520711,402078,mobile,ended,-17.0,
520750,337219,connect,ended,-154.0,
520979,381012,mobile,canceled,canceled,Annulé
521526,282208,mobile,ended,-53.0,
521594,241058,mobile,canceled,canceled,Annulé
523920,363431,mobile,ended,-25.0,
524487,380866,mobile,ended,-15.0,
525175,280805,connect,ended,9.0,
525435,335857,mobile,canceled,canceled,Annulé
525776,285846,mobile,ended,22.0,
526081,406054,mobile,canceled,canceled,Annulé
526194,325154,mobile,canceled,canceled,Annulé
527465,381512,mobile,ended,28.0,
527709,393442,mobile,ended,106.0,
528269,385174,mobile,canceled,canceled,Annulé
528782,370513,mobile,ended,3.0,
528783,266641,mobile,canceled,canceled,Annulé
529239,354515,mobile,ended,10.0,
529467,372128,mobile,canceled,canceled,Annulé
529492,207715,mobile,ended,-169.0,
529693,281955,mobile,ended,-67.0,
530325,356434,mobile,ended,-101.0,
530357,262206,mobile,ended,14.0,
531233,276202,mobile,ended,-19.0,
531451,378003,mobile,ended,0.0,
531589,290600,connect,canceled,canceled,Annulé
532171,368448,mobile,ended,9.0,
532215,408131,mobile,canceled,canceled,Annulé
532393,406388,mobile,ended,-54.0,
532695,320824,connect,ended,0.0,
533129,405683,mobile,ended,-138.0,
533326,301632,mobile,ended,38.0,
533519,386928,mobile,canceled,canceled,Annulé
533720,385295,mobile,ended,6.0,
565543,364882,connect,ended,82.0,
565548,373925,mobile,ended,-10.0,
